Package	Description	Updated_Date
genoboo	A collaborative notebook for comparative genomics (active fork of GeneNoteBook)	2024-12-20
cpgeneprofiler	Generate a profile of carbapenamase genes from the genome assemblies.	2024-12-20
r-ggmsa	Supports visualizing multiple sequence alignment of DNA and protein sequences using 'ggplot2'. It supports a number of colour schemes including Chemistry Clustal Shapely Taylor and Zappo. Multiple sequence alignment can easily be combined with other 'ggplot2' plots such as aligning a phylogenetic tree produced by 'ggtree' with multiple sequence alignment.	2024-12-20
bioconductor-h5vc	Managing alignment tallies using a hdf5 backend	2024-12-20
bioconductor-ggmsa	Plot Multiple Sequence Alignment using 'ggplot2'	2024-12-20
bioconductor-odseq	Outlier detection in multiple sequence alignments	2024-12-20
bioconductor-orthogene	Interspecies gene mapping	2024-12-20
bioconductor-ggseqalign	Minimal Visualization of Sequence Alignments	2024-12-20
novae	Graph-based foundation model for spatial transcriptomics data	2024-12-20
oakvar	OakVar - Genomic Variant Analysis Platform	2024-12-20
clair3-illumina	Clair3 with libraries to support variant calling using Illumina short-reads. Version in sync with Clair3.	2024-12-20
bioconductor-synmut	SynMut: Designing Synonymously Mutated Sequences with Different Genomic Signatures	2024-12-20
bioconductor-tnt	Interactive Visualization for Genomic Features	2024-12-19
bioconductor-rprimer	Design Degenerate Oligos from a Multiple DNA Sequence Alignment	2024-12-19
bioconductor-genomicdistributions	GenomicDistributions: fast analysis of genomic intervals with Bioconductor	2024-12-19
r-mmgenome	Tools for extracting individual genomes from metagenomes	2024-12-19
goldrush	Linear-time de novo long read assembler from the Bioinformatics Technology Lab	2024-12-19
bioconductor-degraph	Two-sample tests on a graph	2024-12-19
bioconductor-fastseg	fastseg - a fast segmentation algorithm	2024-12-19
bioconductor-genomictuples	Representation and Manipulation of Genomic Tuples	2024-12-19
bioconductor-tdbasedufe	Tensor Decomposition Based Unsupervised Feature Extraction	2024-12-19
bioconductor-muscle	Multiple Sequence Alignment with MUSCLE	2024-12-19
r-seqmagick	Supports reading and writing sequences for different formats (currently interleaved and sequential formats for 'FASTA' and 'PHYLIP') file conversion and manipulation (e.g. filter sequences that contain specify pattern export consensus sequence from an alignment).	2024-12-19
bioconductor-generxcluster	gRx Differential Clustering	2024-12-19
bioconductor-idr2d	Irreproducible Discovery Rate for Genomic Interactions Data	2024-12-19
bioconductor-altcdfenvs	alternative CDF environments (aka probeset mappings)	2024-12-19
bioconductor-meigor	MEIGOR - MEtaheuristics for bIoinformatics Global Optimization	2024-12-19
bioconductor-lola	Locus overlap analysis for enrichment of genomic ranges	2024-12-19
bioconductor-excluderanges	Genomic coordinates of problematic genomic regions	2024-12-19
bioconductor-heatmaps	Flexible Heatmaps for Functional Genomics and Sequence Features	2024-12-19
bioconductor-cogeqc	Systematic quality checks on comparative genomics analyses	2024-12-19
bioconductor-cyanofilter	Phytoplankton Population Identification using Cell Pigmentation and/or Complexity	2024-12-19
bioconductor-msa	Multiple Sequence Alignment	2024-12-19
bioconductor-keggrest	Client-side REST access to the Kyoto Encyclopedia of Genes and Genomes (KEGG)	2024-12-19
bioconductor-gtrellis	Genome Level Trellis Layout	2024-12-19
bioconductor-gcrma	Background Adjustment Using Sequence Information	2024-12-19
bioconductor-genomeintervals	Operations on genomic intervals	2024-12-19
bioconductor-genomicdatacommons	NIH / NCI Genomic Data Commons Access	2024-12-19
bioconductor-brain	Baffling Recursive Algorithm for Isotope distributioN calculations	2024-12-19
fraggenescan	FragGeneScan is an application for finding (fragmented) genes in short reads.	2024-12-19
cooltools	Analysis tools for genomic interaction data stored in .cool format	2024-12-19
bioconductor-genomicranges	Representation and manipulation of genomic intervals	2024-12-19
mgkit	Metagenomics Framework	2024-12-19
amplicontyper	Tool for training model and classifying reads from environmental ONT amplicon sequencing.	2024-12-19
ectyper	ECtyper is a python program for serotyping E. coli genomes	2024-12-19
bioconductor-crimage	CRImage a package to classify cells and calculate tumour cellularity	2024-12-19
ntlink	Genome assembly scaffolder using long reads and minimizers	2024-12-19
bioconductor-doscheda	A DownStream Chemo-Proteomics Analysis Pipeline	2024-12-19
pygtftk	The gtftk suite providing facilities to manipulate genomic annotations in gtf format.	2024-12-19
ntsynt	Detecting multi-genome synteny blocks using minimizer graph mapping	2024-12-19
bioconductor-rcwlpipelines	Bioinformatics pipelines based on Rcwl	2024-12-19
tigmint	Correct misassemblies using linked or long reads	2024-12-19
nanovar	Structural variant caller using low-depth long reads	2024-12-19
ntjoin	Genome assembly scaffolder using minimizer graphs	2024-12-19
bioconductor-cardinalworkflows	Datasets and workflows for the Cardinal MSI	2024-12-19
smaca	smaca is a python tool to detect putative SMA carriers and estimate the absolute SMN1 copy-number in a population.	2024-12-19
pysamstats	A Python utility for calculating statistics against genome position based on sequence alignments from a SAM BAM or CRAM file.	2024-12-19
dfast	DDBJ Fast Annotation and Submission Tool - Prokaryotic genome annotation pipeline	2024-12-19
cogent3	COmparative GENomics Toolkit 3: genomic sequence analysis within notebooks or on compute systems with 1000s of CPUs.	2024-12-19
vcontact3	Viral Contig Automatic Clustering and Taxonomy	2024-12-19
methylmap	Plotting tool for population-scale nucleotide modifications	2024-12-19
bioconductor-acgh	Classes and functions for Array Comparative Genomic Hybridization data	2024-12-19
bioconductor-mosbi	Molecular Signature identification using Biclustering	2024-12-19
bioconductor-plier	Implements the Affymetrix PLIER algorithm	2024-12-19
abyss	Assembly By Short Sequences - a de novo parallel paired-end short read sequence assembler.	2024-12-19
bioconductor-rtopper	This package is designed to perform Gene Set Analysis across multiple genomic platforms	2024-12-19
bamread	Read bam files quickly into dataframes in Python	2024-12-19
atropos	trim adapters from high-throughput sequencing reads	2024-12-19
bioconductor-cardinal	A mass spectrometry imaging toolbox for statistical analysis	2024-12-19
bioconductor-cghregions	Dimension Reduction for Array CGH Data with Minimal Information Loss.	2024-12-19
whatshap	phase genomic variants using DNA sequencing reads (haplotype assembly)	2024-12-19
python-bioext	A few handy bioinformatics tools not already in BioPython	2024-12-19
bioconductor-consensusclusterplus	ConsensusClusterPlus	2024-12-18
disco	Multi-threaded Distributed Memory Overlap-Layout-Consensus (OLC) Metagenome Assembler	2024-12-18
arcs	Scaffolding genome sequence assemblies using linked or long reads	2024-12-18
r-crmn	Implements the Cross-contribution Compensating Multiple standard Normalization (CCMN) method described in Redestig et al. (2009) Analytical Chemistry <doi:10.1021/ac901143w> and other normalization algorithms.	2024-12-18
ntstat	a toolkit for statistical analysis of k-mer frequency and depth	2024-12-18
bioconductor-flowchic	Analyze flow cytometric data using histogram information	2024-12-18
prophyle	ProPhyle is an accurate resource-frugal and deterministic phylogeny-based metagenomic classifier.	2024-12-18
bioconductor-mogamun	MOGAMUN: A Multi-Objective Genetic Algorithm to Find Active Modules in Multiplex Biological Networks	2024-12-18
r-ontologyplot	Functions for visualising sets of ontological terms using the 'graphviz' layout system.	2024-12-18
bioconductor-kegggraph	KEGGgraph: A graph approach to KEGG PATHWAY in R and Bioconductor	2024-12-18
bioconductor-cardinalio	Read and write mass spectrometry imaging files	2024-12-18
r-genomictools.filehandler	A collection of I/O tools for handling the most commonly used genomic datafiles like fasta/-q bed gff gtf ped/map and vcf.	2024-12-18
metamdbg	MetaMDBG: a lightweight assembler for long and accurate metagenomics reads.	2024-12-18
bioconductor-matter	Out-of-core statistical computing and signal processing	2024-12-18
rnashapes	RNAshape abstraction maps structures to a tree-like domain of shapes retaining adjacency and nesting of structural features but disregarding helix lengths. Shape abstraction integrates well with dynamic programming algorithms and hence it can be applied during structure prediction rather than afterwards. This avoids exponential explosion and can still give us a non-heuristic and complete account of properties of the molecule's folding space.	2024-12-18
minimap2	A versatile pairwise aligner for genomic and spliced nucleotide sequences.	2024-12-18
lexicmap	efficient sequence alignment against millions of prokaryotic genomes	2024-12-18
virusrecom	An information-theory-based method for recombination detection of viral lineages.	2024-12-18
bioconductor-flowcatchr	Tools to analyze in vivo microscopy imaging data focused on tracking flowing blood cells	2024-12-18
bioconductor-phenstat	Statistical analysis of phenotypic data	2024-12-18
bioconductor-ibmq	integrated Bayesian Modeling of eQTL data	2024-12-18
bioconductor-fabia	FABIA: Factor Analysis for Bicluster Acquisition	2024-12-18
bioconductor-depecher	Determination of essential phenotypic elements of clusters in high-dimensional entities	2024-12-18
bioconductor-graphat	Graph Theoretic Association Tests	2024-12-18
r-acidbase	Low-level base functions imported by Acid Genomics packages.	2024-12-18
bioconductor-fishalyser	FISHalyseR a package for automated FISH quantification	2024-12-18
bioconductor-rots	Reproducibility-Optimized Test Statistic	2024-12-18
molpopgen-analysis	Programs for the (pre-NGS-era) analysis of population-genetic data	2024-12-18
bioconductor-hypergraph	A package providing hypergraph data structures	2024-12-18
bioconductor-rcyjs	Display and manipulate graphs in cytoscape.js	2024-12-18
bioconductor-fabiadata	Data sets for FABIA (Factor Analysis for Bicluster Acquisition)	2024-12-18
bioconductor-rgraph2js	Convert a Graph into a D3js Script	2024-12-18
bioconductor-donapllp2013	Supplementary data package for Dona et al. (2013) containing example images and tables	2024-12-18
bioconductor-rbcbook1	Support for Springer monograph on Bioconductor	2024-12-18
kcounter	A simple package for counting DNA k-mers in Python. Written in Rust.	2024-12-17
trimadap	Fast but inaccurate adapter trimmer for Illumina reads.	2024-12-17
pairix	2D indexing on bgzipped text files of paired genomic coordinates	2024-12-17
el_gato	Perform Legionella pneumophila Sequence Based Typing (SBT) from short reads or assemblies.	2024-12-17
mrbayes	Bayesian Inference of Phylogeny	2024-12-17
bioconductor-flowpeaks	An R package for flow data clustering	2024-12-17
bioconductor-gdsfmt	R Interface to CoreArray Genomic Data Structure (GDS) Files	2024-12-17
bioconductor-hmmcopy	Copy number prediction with correction for GC and mappability bias for HTS data	2024-12-17
bindash	Fast and precise comparison of genomes and metagenomes (in the order of terabytes) on a typical personal laptop	2024-12-17
smudgeplot	Inference of ploidy and heterozygosity structure using whole genome sequencing data.	2024-12-17
zol	zol (& fai): large-scale targeted detection and evolutionary investigation of gene clusters.	2024-12-17
bioconductor-cmap	Annotation data file for cMAP assembled using data from public data repositories	2024-12-17
bioconductor-ratchrloc	Annotation data file for ratCHRLOC assembled using data from public data repositories	2024-12-17
bioconductor-humanomni5quadv1bcrlmm	Package with metadata for genotyping Illumina Omni5 Quad arrays using the 'crlmm' package.	2024-12-17
bioconductor-timerquant	Timer Quantification	2024-12-17
bioconductor-gpumagic	An openCL compiler with the capacity to compile R functions and run the code on GPU	2024-12-17
bioconductor-genomewidesnp6crlmm	Package with metadata for fast genotyping Affymetrix GenomeWideSnp_6 arrays using the 'crlmm' package.	2024-12-17
